============================================================
STORY_HOOK_DECK
Exported: 2026-01-19T18:38:59.094Z
============================================================

Timestamp	Cycle	HookID	HookType	Domain	Neighborhood	Priority	HookText	LinkedArcID	SuggestedDesks	Holiday	HoldayPriority	IsFirstFriday	IsCreationDay	SportsSeason	CalendarTrigger
2026-01-12T17:37:42.132Z	74	25f4425f	firstfriday	NIGHTLIFE	KONO	1	First Friday nightlife surge expected. Restaurant and bar scene coverage available.		Culture Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-12T17:37:42.132Z	74	01c1a7b5	weather	COMMUNITY	Lake Merritt	1	Perfect weather drawing crowds outdoors. Street scene, park life, café patios. Photo walk.		Community Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	37f76cae	shock	CIVIC		3	SHOCK EVENT: Unexpected disruption detected. Breaking news potential. All desks alert.		Civic Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	e5b0f635	signal	CULTURE		2	Multiple culture signals detected. Could be coincidence or early pattern.		Culture Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	6bc702d2	signal	INFRASTRUCTURE		2	Multiple infrastructure signals detected. Could be coincidence or early pattern.		Civic Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	28b67b49	signal	NIGHTLIFE		2	Multiple nightlife signals detected. Could be coincidence or early pattern.		Culture Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	3bc2c0d5	signal	ARTS		2	Multiple arts signals detected. Could be coincidence or early pattern.		City Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	2ba5b485	holiday	CULTURAL	Downtown	2	Pride Month begins: Rainbow flags appear. Preview Oakland Pride, community voices, LGBTQ+ features.		Culture Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	85ff98c7	firstfriday	CULTURE	Uptown	2	First Friday: Monthly art walk tonight. Gallery openings, street vendors, neighborhood energy. Photo walk opportunity.		Culture Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	dbd53fed	sentiment	COMMUNITY	Lake Merritt	2	Positive energy in the city. What's driving the mood? Feature opportunity.		Community Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	74fc54b5	cultural	CULTURE		2	Cultural activity surge detected. Arts scene energized. Gallery/venue roundup opportunity.		Culture Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	5a223d4f	community	COMMUNITY		2	Community engagement elevated. Residents gathering, organizing, connecting. Profile opportunity.		Community Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	35988986	demographic	COMMUNITY		2	Population inflow surge. New residents arriving. Neighborhood change angle.		Community Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	e4af18f1	nightlife	NIGHTLIFE	Jack London	2	Nightlife surge in the district. Scene report or venue profile opportunity.		Culture Desk	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	15dbf204	firstfriday	NIGHTLIFE	KONO	1	First Friday nightlife surge expected. Restaurant and bar scene coverage available.		Culture Desk	PrideMonth	cultural	true	false	mid-season	
